url_base;title_category;all_services
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Toilet paper
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Towels
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Bath or shower
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Private bathroom
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Toilet
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Free toiletries
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Hairdryer
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bathroom;Shower
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bedroom;Linen
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Bedroom;Wardrobe or closet
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Outdoors;Outdoor furniture
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Outdoors;Outdoor dining area
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Outdoors;Sun terrace
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Outdoors;Garden
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Kitchen;Shared kitchen
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Kitchen;Tumble dryer
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Room amenities;Socket near the bed
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Room amenities;Drying rack for clothing
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Activities;Cycling Off-site
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Activities;Hiking Off-site
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Activities;Fishing
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Living Area;Seating Area
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Living Area;Desk
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Food & Drink;Coffee house on site
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Internet;WiFi is available in all areas and is free of charge.
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Parking;Public parking is possible at a location nearby (reservation is not possible) and charges may be applicable.
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Services;Luggage storage
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Services;Express check-in/check-out
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Services;Laundry
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Reception services;Invoice provided
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Safety & security;Fire extinguishers
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Safety & security;CCTV outside property
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Safety & security;CCTV in common areas
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Safety & security;Smoke alarms
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;Safety & security;Key access
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Hypoallergenic
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Designated smoking area
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Air conditioning
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Non-smoking throughout
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Soundproofing
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Private entrance
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Soundproof rooms
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Heating
https://www.booking.com/hotel/mk/villa-dvor.en-gb.html?lang=en-gb;General;Ironing facilities
