external_ref,url_id,hotel_id,length_description,img_highres_count,count_service_category,count_service,hotel_review_score,hotel_review_count,base_url,book_lenght,book_imagenes,book_count_service_category,book_count_service,book_review_score,book_review_count,book_quality,book_destino_Turistico,book_destino_General
1001,16ac1a9c-56c4-447a-876c-b26c56c65378,ba465a6a-2c93-445c-ae85-6038905fb50c,842,45,8,49,9.2,339,https://www.booking.com/hotel/mk/villa-dvor.html,935,59,16,57,9.2,340,3,Ohrid,Macedonia del Norte
75920,18ca7130-503a-4a24-8d8a-d336f984c3d4,7ffcad5b-1433-4f97-8e8c-ac0eca04f73e,948,45,12,68,8.7,7132,https://www.booking.com/hotel/at/ambassador.html,948,50,16,76,8.7,7239,5,Vienna,Austria
75925,0b0b1648-1eef-4c60-aa10-23c9cab887f5,a5fa8396-14ad-4c99-803b-a40ec808a12f,1078,45,11,70,8.3,5585,https://www.booking.com/hotel/at/melia-vienna.html,1191,129,16,75,8.3,5656,5,Vienna,Austria
75950,2a3dd3c2-f659-4197-8ea3-3e7403ad6bac,6281eeed-e315-4d2d-8f30-209d6dd4bc6b,1161,45,13,102,8.6,3209,https://www.booking.com/hotel/at/hilton-vienna-plaza.html,1161,93,22,108,8.6,3296,5,Vienna,Austria
75962,45f52874-430b-4f76-a8a4-5fb0c8cbd29c,bffaab33-5e3d-4a61-91ed-f63be266055d,947,45,13,97,8.7,4842,https://www.booking.com/hotel/at/steigenberger-herrenhof.html,947,79,20,104,8.7,4837,5,Vienna,Austria
75986,bbcd41d3-9d78-411f-ab60-69dd306bd678,865b9a9d-e390-4f62-b368-13ed4cbf1c8a,1154,45,11,100,8.5,3560,https://www.booking.com/hotel/at/vienna-marriott.html,1154,135,17,100,8.5,3654,5,Vienna,Austria
76010,0a731c49-bef6-47d9-bdd0-1056170c141d,5726ac90-50bc-4110-a181-d3be09694dff,1195,45,12,75,8.4,3240,https://www.booking.com/hotel/at/le-meridien-vienna.html,1195,133,17,82,8.4,3264,5,Vienna,Austria
76020,612bb376-2436-4af8-ad65-594b06f705e8,2079cdbe-111b-426d-9a09-801f79093503,1027,45,12,152,8.9,4592,https://www.booking.com/hotel/at/vienna-stephansdom.html,1027,202,21,132,8.8,4587,5,Vienna,Austria
76032,4c96a05c-d088-4e42-8dfa-88cc8387d5dd,6976e314-c4a3-4e39-84bd-a4111a44b3ac,1567,45,12,122,8.7,1828,https://www.booking.com/hotel/at/grand-wien.html,1567,172,19,127,8.7,1876,5,Vienna,Austria
76033,b1b3be6d-7816-4d61-b528-4a628e57a1ac,a87c762e-cf2a-43fd-8bc6-53de3ffda93e,1022,38,6,10,8.1,3404,https://www.booking.com/hotel/at/topazz.html,1022,38,16,67,8.1,3353,5,Vienna,Austria
76051,3ef8eae2-79da-4eec-9924-f6a1db84d04a,919ac7ee-1155-442f-907a-dff2f9cd0f73,1075,45,13,86,9.3,3306,https://www.booking.com/hotel/at/the-leo-grand.html,1088,66,20,93,9.3,3347,5,Vienna,Austria
76082,6e00bc29-4284-4235-b375-d1bce05bcfe8,bf1aa1df-8cff-4c65-a974-5bc37cba79dd,1204,45,11,108,8.4,2036,https://www.booking.com/hotel/at/intercontinental-wien.html,1204,83,18,114,8.4,2063,5,Vienna,Austria
76093,b0d052e0-c71f-4914-a534-57390bc34387,2cc1663c-833e-4925-a36e-4fc778be63a9,1716,45,13,145,9,1541,https://www.booking.com/hotel/at/the-ritz-carlton-vienna.html,1716,142,22,127,8.9,1589,5,Vienna,Austria
76101,10cb8809-3b66-4301-b60d-0413f97b6293,50e568ee-7e19-4219-9f72-85051a484609,1098,45,12,88,9.3,1828,https://www.booking.com/hotel/at/the-guesthouse-vienna.html,1098,95,20,94,9.3,1834,5,Vienna,Austria
76108,ca9eb60d-1aba-4aee-a84d-af45f24bba3a,e72c14f2-f86c-421d-a1eb-2cdda55ea223,1041,45,12,143,9.4,1381,https://www.booking.com/hotel/at/sans-souci-wien.html,1041,83,19,130,9.4,1376,5,Vienna,Austria
76126,19f21e21-d0fc-4ccd-9263-a9a1e00a551b,1d7d50d9-9a13-4b04-839e-1fd838f0abba,1265,45,6,10,8.6,1807,https://www.booking.com/hotel/at/do-co-vienna.html,1265,57,19,75,8.6,1829,5,Vienna,Austria
76133,69482fc0-f844-414d-a1d2-cb61365703cc,2e9a0022-c446-4c34-8cdd-31b9dd88d5cb,1136,45,10,65,9.5,1078,https://www.booking.com/hotel/at/sacher-wien.html,1136,79,17,71,9.5,109,5,Vienna,Austria
76137,5eeb9eac-846b-4dd5-977d-97ad95f9c15a,69bc996b-7ab8-46ed-948c-09a6853e9649,1417,45,11,102,9.2,885,https://www.booking.com/hotel/at/hotelimperialwien.html,1417,174,20,110,9.2,887,5,Vienna,Austria
76144,539215b8-ce84-4dfc-a91a-b8cbbaea0179,a0cec6a2-6ea7-48c8-916b-b3fb796daf5f,1708,45,11,91,9.1,233,https://www.booking.com/hotel/at/anantara-palais-hansen-vienna.html,1708,86,17,103,9.1,230,5,Vienna,Austria
76146,2d99e37c-38e8-40a9-90b5-ae0831d56ba0,,0,0,0,0,0,0,https://www.booking.com/hotel/at/bristolawesvienna.html,0,0,16,79,0,0,,,
76151,4539dc07-62f2-4e1e-9a27-23c19b1396e4,4773ebc5-2387-4d85-9942-b37daf1e5105,901,45,11,63,9.4,785,https://www.booking.com/hotel/at/rosewood-vienna-wien.html,911,92,15,73,9.4,807,5,Vienna,Austria
76159,4228c054-3489-4921-a57c-b63bc6f61726,13fb9f2b-9f41-4c41-99ac-ce2c9e2bbe1b,956,45,12,128,9.1,2068,https://www.booking.com/hotel/at/almanac-palais-vienna.html,966,74,22,120,9.1,2028,5,Vienna,Austria
76161,9d11a9b7-206d-4750-9d5d-cd83c3662aa6,87ae1fe1-3760-42d2-8328-ca96877ad1fe,1655,45,13,120,9.3,483,https://www.booking.com/hotel/at/park-hyatt-vienna.html,1655,137,21,125,9.3,484,5,Vienna,Austria
76169,a346f586-f883-4e54-a2ec-ef011d2c2683,aa159370-cde8-441c-8cc3-1e3566e62dd1,1902,45,12,110,9.4,944,https://www.booking.com/hotel/at/the-ring.html,1902,72,21,114,9.4,931,5,Vienna,Austria
76173,83b8c376-0e33-4217-b50f-67e8d7c3f3ab,d0f325b6-281a-4fc3-93dd-57dcb92e58d8,1070,33,11,106,9.3,173,https://www.booking.com/hotel/at/palais-coburg-residenz-gmbh.html,933,53,21,114,9.3,175,5,Vienna,Austria
