Query SQL :
SELECT 
    u.id, d.hotel_id, u.external_ref, LENGTH(d.description) AS description_length,
	COALESCE(img.highres_count, 0) AS img_highres_count,
	COALESCE(s.count_service_category, 0) AS count_service_category, COALESCE(s.count_service, 0) AS count_service
FROM url_queue u
LEFT JOIN hotels_description d ON u.id = d.url_id AND d.language = 'en'
LEFT JOIN (
    SELECT hotel_id, COUNT(category) AS highres_count
    FROM image_downloads
    WHERE category = 'highres_url'
    GROUP BY hotel_id
) img 
       ON d.hotel_id = img.hotel_id
LEFT JOIN (
    SELECT url_id, hotel_id , COUNT(DISTINCT service_category) 
        + COUNT(DISTINCT CASE WHEN service_category IS NULL THEN 1 END) 
        AS count_service_category,  COUNT(*) AS count_service
    FROM hotels_all_services
    WHERE language = 'en'
    GROUP BY hotel_id, url_id
) s
       ON d.hotel_id = s.hotel_id AND u.id = s.url_id
ORDER BY u.external_ref;

---

Result :
{
external_ref,id,hotel_id,description_length,img_highres_count,count_service_category,count_service
1001,16ac1a9c-56c4-447a-876c-b26c56c65378,ba465a6a-2c93-445c-ae85-6038905fb50c,842,45,8,49
75920,18ca7130-503a-4a24-8d8a-d336f984c3d4,7ffcad5b-1433-4f97-8e8c-ac0eca04f73e,948,45,12,68
75925,0b0b1648-1eef-4c60-aa10-23c9cab887f5,a5fa8396-14ad-4c99-803b-a40ec808a12f,1078,45,11,70
75950,2a3dd3c2-f659-4197-8ea3-3e7403ad6bac,6281eeed-e315-4d2d-8f30-209d6dd4bc6b,1161,45,13,102
75962,45f52874-430b-4f76-a8a4-5fb0c8cbd29c,bffaab33-5e3d-4a61-91ed-f63be266055d,947,45,13,97
75986,bbcd41d3-9d78-411f-ab60-69dd306bd678,865b9a9d-e390-4f62-b368-13ed4cbf1c8a,1154,45,11,100
76010,0a731c49-bef6-47d9-bdd0-1056170c141d,5726ac90-50bc-4110-a181-d3be09694dff,1195,45,12,75
76020,612bb376-2436-4af8-ad65-594b06f705e8,2079cdbe-111b-426d-9a09-801f79093503,1027,45,12,152
76032,4c96a05c-d088-4e42-8dfa-88cc8387d5dd,6976e314-c4a3-4e39-84bd-a4111a44b3ac,1567,45,12,122
76033,b1b3be6d-7816-4d61-b528-4a628e57a1ac,a87c762e-cf2a-43fd-8bc6-53de3ffda93e,1022,38,6,10
76051,3ef8eae2-79da-4eec-9924-f6a1db84d04a,919ac7ee-1155-442f-907a-dff2f9cd0f73,1075,45,13,86
76082,6e00bc29-4284-4235-b375-d1bce05bcfe8,bf1aa1df-8cff-4c65-a974-5bc37cba79dd,1204,45,11,108
76093,b0d052e0-c71f-4914-a534-57390bc34387,2cc1663c-833e-4925-a36e-4fc778be63a9,1716,45,13,145
76101,10cb8809-3b66-4301-b60d-0413f97b6293,50e568ee-7e19-4219-9f72-85051a484609,1098,45,12,88
76108,ca9eb60d-1aba-4aee-a84d-af45f24bba3a,e72c14f2-f86c-421d-a1eb-2cdda55ea223,1041,45,12,143
76126,19f21e21-d0fc-4ccd-9263-a9a1e00a551b,1d7d50d9-9a13-4b04-839e-1fd838f0abba,1265,45,6,10
76133,69482fc0-f844-414d-a1d2-cb61365703cc,2e9a0022-c446-4c34-8cdd-31b9dd88d5cb,1136,45,10,65
76137,5eeb9eac-846b-4dd5-977d-97ad95f9c15a,69bc996b-7ab8-46ed-948c-09a6853e9649,1417,45,11,102
76144,539215b8-ce84-4dfc-a91a-b8cbbaea0179,a0cec6a2-6ea7-48c8-916b-b3fb796daf5f,1708,45,11,91
76146,2d99e37c-38e8-40a9-90b5-ae0831d56ba0,,0,0,0,0
76151,4539dc07-62f2-4e1e-9a27-23c19b1396e4,4773ebc5-2387-4d85-9942-b37daf1e5105,901,45,11,63
76159,4228c054-3489-4921-a57c-b63bc6f61726,13fb9f2b-9f41-4c41-99ac-ce2c9e2bbe1b,956,45,12,128
76161,9d11a9b7-206d-4750-9d5d-cd83c3662aa6,87ae1fe1-3760-42d2-8328-ca96877ad1fe,1655,45,13,120
76169,a346f586-f883-4e54-a2ec-ef011d2c2683,aa159370-cde8-441c-8cc3-1e3566e62dd1,1902,45,12,110
76173,83b8c376-0e33-4217-b50f-67e8d7c3f3ab,d0f325b6-281a-4fc3-93dd-57dcb92e58d8,1070,33,11,106
76186,76c2bcab-f569-4c28-879b-d2be724be94c,c3f5d561-d3fe-40f8-9fdc-9286e2e3131e,850,45,12,104
76187,67d1fc7b-74d7-40d0-a038-09be6a99ca39,e50231b6-54d6-475e-ad04-74c2bdee0e32,541,45,12,36
76188,d2aa0b06-0f06-4798-b6f4-63011777d1a1,0974fc49-a43d-455b-abdd-5152456f388e,784,45,13,114
76191,ca83bd22-c4bd-4266-b7f5-ee80065a6707,7cd15e74-2553-4d31-bad6-98e3a90957a5,550,45,12,72
76194,3c7ce574-61d2-4525-8a26-969fc7d327b9,ebb852e0-d9c3-4925-9aba-df30798e7858,620,33,5,10
76196,8b9500f3-17da-4a4d-88df-568d5ab0c1d4,41541910-0a81-4fea-812b-4bf7cd4f5de4,381,33,10,36
76197,466974f7-dbec-4442-b2e1-c6c58df1348f,162699bc-b7e2-48a7-a310-e47bdeb54fca,771,35,9,38
76199,dbba7029-5d92-488b-a2b6-5936ad4ccd6d,160ffdfb-93ff-4fa9-b016-8dfd19ad0a16,669,45,12,50
76200,37747323-224e-40cb-988b-cfb993ba6cf1,10c98c83-70e3-4971-8054-f51e69db9251,761,45,11,44
76202,5658d706-f3c0-4041-a912-affc86c50204,dca22c08-0337-489f-baad-e2a372232671,757,28,13,72
76203,f8b6a788-5587-4b99-88de-e61a32b8b224,7e356274-0604-462c-a722-b47c7a73723e,936,25,11,63
76204,bc3fc8e5-e23f-4b4e-8843-12834d19bd31,968e74aa-310b-4aed-be27-8847afbcd1ac,670,25,11,52
76206,d5c9c67d-af03-44e8-bff2-29a65673b8ec,b43044bd-f03d-48d6-956c-85250765e304,659,36,10,54
76208,de0735c3-b441-49c3-9f09-b57178673421,83c152ad-1f8f-49a6-9022-8841e7a6255c,643,21,10,56
76212,056a3aa1-98f7-4dd8-8619-44cf8f37b3c5,d338661e-6bcb-4669-8321-46c457b0bdb2,767,45,11,46
76213,47665b93-6967-453c-bd96-cb35e4e64d8a,36183770-8dad-434c-a531-5f8a27c33189,752,45,12,102
76214,ef7e84c7-58f8-469a-acb7-eba4d129f145,5519c015-013f-4eeb-a0f2-17d45905744b,893,26,8,20
76220,54624b41-ee64-47c5-b553-fc81b3a70f5d,4a122fa9-3b90-4ba0-a707-a2500dc443ae,662,45,12,69
76221,f7d98d3d-2bdb-453b-9014-5616658107d8,,0,0,0,0
76224,d2caf9bc-2447-4c5c-b00e-16ac2230820f,87275a79-8463-4124-bb9e-cf076294c967,830,45,12,60
76372,84a35243-b986-4727-bea1-a72e4df38c1f,d82d5c5c-b09a-482d-9154-abced8c03ecf,1194,45,11,102
76374,2f591cc2-0fce-47a0-b272-3660545d4772,0d3b3780-e6be-468b-88a9-0da0b92b3a88,1105,45,10,94
76384,3dbeb27a-5974-44ae-aa0a-5377d854dba2,feedbbae-7701-4138-8121-9e8319ebbf0a,925,45,10,74
76386,e86c0425-c425-4a7c-a073-911a47f16318,3a2e8da9-d4f6-4c02-9e64-4ce404a9e112,1341,45,11,91
76399,f2858f78-8584-4cbc-b790-efce2259cac9,99b4120d-5b27-4a04-977f-bbdb24678d1f,1041,45,13,153
76401,fdae1fc2-366b-45d9-93a8-56962c1a0ecb,c4895ebd-c901-4192-8e84-d3142f8c7add,841,45,11,79
76402,aac50fb0-a459-402e-9397-01c98bebf8b5,d01d8305-0311-4344-8832-a346d8db9b5d,380,45,5,7
76423,9556a514-a70a-486b-a702-0ef7f84c863b,f37774e5-1daa-4f75-8509-ba12d0963c35,1097,31,11,103
76470,ebc17fa3-bfe6-4ae6-b48f-228919f9184c,54d01033-77e2-48c8-8130-c48b8be87435,840,45,12,123
76472,a59995f7-72bd-44e6-b5b5-9be17c31faef,ef3352fe-dbe0-432f-b24e-a00074179e65,851,27,10,56
76548,2d1813c3-eeef-445b-97a9-8237aafb6d0f,a32a212e-48b2-49a3-942c-a3861f7eed32,1182,45,13,154
76554,d46758a9-4ed8-4ad3-9a2c-cf04ec0117a4,67a1c9b0-aca9-4cf1-9c4b-c20285861b87,871,45,12,97
76569,c9a830e6-3c3f-49f0-b3a6-b7613dd2ddff,459590e1-73c2-4d32-923d-8a42aaae5106,1067,45,12,57
76577,ef7d032b-4c02-4535-ba4d-1fcda0db6306,050ee7e5-d607-4756-a884-971a6bf0bd36,972,45,8,34
