"id","url_id","url","language","hotel_name","hotel_id_booking","city","country","latitude","longitude","star_rating","review_score","review_count","main_image_url","short_description","rating_value","best_rating","street_address","address_locality","address_country","postal_code","amenities","room_types","policies","raw_data","scrape_duration_s","scrape_engine","created_at","updated_at","version_id"
"9db207e4-a099-4086-9f98-d98b8ef3afae","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.es.html?lang=es","es","Gardens Hill Resort & Spa","13679095",NULL,"Seychelles","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Gardens Hill Resort & Spa está en Beau Vallon, a 5 min a pie de Playa de Beau Vallon, y dispone de alojamiento con piscina al aire libre, parking privado...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychelles","N Coast Road, Mahe","Seychelles",NULL,"[""Piscina al aire libre"", ""WiFi gratis"", ""Traslado aeropuerto"", ""Spa y centro de bienestar"", ""Habitaciones familiares"", ""Parking gratis"", ""Restaurante"", ""Gimnasio"", ""Bar"", ""Desayuno""]","[]","{}","{}","178.349","cloudscraper","2026-03-13 01:52:56.967368+00","2026-03-13 01:52:56.967371+00",1
"042be237-6f07-4f7d-80c2-a9bdfa4dc18a","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.en-gb.html?lang=en-gb","en","Gardens Hill Resort & Spa","13679095",NULL,"Seychelles","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Situated in Beau Vallon, 500 metres from Beau Vallon Beach, Gardens Hill Resort & Spa features accommodation with an outdoor swimming pool, free private...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychelles","N Coast Road, Mahe","Seychelles",NULL,"[""Outdoor swimming pool"", ""Free WiFi"", ""Airport shuttle"", ""Spa and wellness centre"", ""Family rooms"", ""Free parking"", ""Restaurant"", ""Fitness centre"", ""Bar"", ""Very good breakfast"", ""See all 82 facilities""]","[]","{}","{}","280.456","cloudscraper","2026-03-13 01:57:37.768204+00","2026-03-13 01:57:37.768207+00",1
"56c2395b-d918-491b-8fca-fb51b7cb61dc","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.de.html?lang=de","de","Gardens Hill Resort & Spa","13679095",NULL,"Seychellen","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Die Unterkunft Gardens Hill Resort & Spa, die in Beau Vallon, 500 m von Strand Beau Vallon entfernt gelegen ist, verfügt über Übernachtungsmöglichkeiten...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychellen","N Coast Road, Mahe","Seychellen",NULL,"[""Außenpool"", ""WLAN inklusive"", ""Flughafenshuttle"", ""Spa & Wellnesscenter"", ""Familienzimmer"", ""Parkplatz inbegriffen"", ""Restaurant"", ""Fitnesscenter"", ""Bar"", ""Sehr gutes Frühstück""]","[]","{}","{}","459.804","cloudscraper","2026-03-13 02:05:30.632545+00","2026-03-13 02:05:30.632548+00",1
"aca39e38-1c0d-4c56-88c2-5a5d43f1e398","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.fr.html?lang=fr","fr","Gardens Hill Resort & Spa","13679095",NULL,"Seychelles","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","L’établissement Gardens Hill Resort & Spa vous accueille à Beau Vallon, à 500 mètres de ce lieu d’intérêt : Plage de Beau Vallon.","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychelles","N Coast Road, Mahe","Seychelles",NULL,"[""Piscine extérieure"", ""Connexion Wi-Fi gratuite"", ""Navette aéroport"", ""Spa et centre de bien-être"", ""Chambres familiales"", ""Parking gratuit"", ""Restaurant"", ""Centre de remise en forme"", ""Bar"", ""Très bon petit-déjeuner""]","[]","{}","{}","483.717","cloudscraper","2026-03-13 02:13:34.854131+00","2026-03-13 02:13:34.854136+00",1
"a63e66fd-f98a-42b7-9edb-bd87035d5dfa","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.it.html?lang=it","it","Gardens Hill Resort & Spa","13679095",NULL,"Seychelles","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Ubicato a Beau Vallon, a 500 metri da Beau Vallon Beach, Gardens Hill Resort & Spa propone una piscina all'aperto, un parcheggio privato gratuito, un...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychelles","N Coast Road, Mahe","Seychelles",NULL,"[""Piscina scoperta"", ""Connessione WiFi gratuita"", ""Navetta aeroportuale"", ""Spa & centro benessere"", ""Disponibilità di camere familiari"", ""Parcheggio gratuito"", ""Ristorante"", ""Palestra"", ""Bar"", ""Colazione ottima""]","[]","{}","{}","507.044","cloudscraper","2026-03-13 02:22:02.151851+00","2026-03-13 02:22:02.151854+00",1
"e2a99be9-fdd4-4c9d-a920-9db731282810","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.nl.html?lang=nl","nl","Gardens Hill Resort & Spa","13679095",NULL,"Seychellen","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Gardens Hill Resort & Spa bevindt zich in Beau Vallon, op 5 minuten lopen van Strand van Beau Vallon, en biedt accommodatie met een buitenzwembad, gratis...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seychellen","N Coast Road, Mahe","Seychellen",NULL,"[""Buitenzwembad"", ""Gratis WiFi"", ""Luchthavenshuttle"", ""Wellnesscentrum"", ""Familiekamers"", ""Gratis parkeergelegenheid"", ""Restaurant"", ""Gym"", ""Bar"", ""Erg goed ontbijt""]","[]","{}","{}","457.728","cloudscraper","2026-03-13 02:29:40.229948+00","2026-03-13 02:29:40.229951+00",1
"93be4033-8cd7-4c88-b720-2a67d92fba69","0fd1cd75-3130-47da-9b62-7961865da945","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.pt-pt.html?lang=pt-pt","pt","Gardens Hill Resort & Spa","13679095",NULL,"Seicheles","-4.61157590722415","55.4335973025021",NULL,"8.7",150,"https://cf.bstatic.com/xdata/images/hotel/max500/675098205.jpg?k=2821dc22d824d0fb9cc3d48885209e213be164439d61b6ee6138442178ae8c7c&o=&hp=1","Gardens Hill Resort & Spa encontra-se em Beau Vallon, a 5 minutos a pé de Praia de Beau Vallon, e apresenta acomodações com uma piscina exterior,...","8.7","10","N Coast Road, Mahe, Beau Vallon, Seicheles","N Coast Road, Mahe","Seicheles",NULL,"[""Piscina exterior"", ""Acesso Wi-Fi gratuito"", ""Transfer (aeroporto)"", ""Spa e centro de bem-estar"", ""Quartos familiares"", ""Estacionamento gratuito"", ""Restaurante"", ""Centro de fitness"", ""Bar"", ""Muito bom pequeno-almoço""]","[]","{}","{}","490.865","cloudscraper","2026-03-13 02:37:51.349268+00","2026-03-13 02:37:51.349271+00",1
"642cd238-3adf-4a76-b06e-dcc535bc40b3","d4c6276e-faf0-42e2-b922-b80bf4bc475d","https://www.booking.com/hotel/bb/leroy.es.html?lang=es","es","Hôtel Le Roy","14104936",NULL,"Barbados","13.0667905598115","-59.5701081965491",NULL,"8.5",136,"https://cf.bstatic.com/xdata/images/hotel/max500/703190738.jpg?k=2fd8d569d3ea49a07b7b9e149aaabc8b5bd14e1f69e1f82001927c4c46a764f4&o=&hp=1","Beachfront Location: Hôtel Le Roy in Oistins offers direct beachfront access with stunning sea views.","8.5","10","Saint Lawrence Gap, Saint Lawrence, BB15020 Christ Church, Barbados","Saint Lawrence Gap","Barbados","BB15020","[""Piscina al aire libre"", ""WiFi gratis"", ""Situado frente a la playa"", ""Traslado aeropuerto"", ""Habitaciones sin humo"", ""Parking gratis"", ""Habitaciones familiares"", ""Tetera/cafetera en todas las habitaciones"", ""Bar"", ""Desayuno""]","[]","{}","{}","178.943","cloudscraper","2026-03-13 03:37:58.844217+00","2026-03-13 03:37:58.84422+00",1
"85bf77d2-2f5c-45d9-8c9c-763306a05139","c30aa9f6-dee7-437b-8a18-0e1da132c619","https://www.booking.com/hotel/bs/the-island-garden.es.html?lang=es","es","The Island Garden Hotel","13147103","Nueva Providencia","Bahamas","25.074993050707572","-77.4175800397592","4","6.7",46,"https://cf.bstatic.com/xdata/images/hotel/max500/619228877.jpg?k=36d1c1264da2801aab84d4a197f28f048b748f1759111face80d430db6268184&o=&hp=1","The Island Garden Hotel se encuentra en Nassau, en la región de Nueva Providencia, a 13 km de Parque acuático Atlantis Aquaventure.","6.7","10","483 West Bay Street, N-7270 Nassau, Bahamas","483 West Bay Street","Bahamas","N-7270","[""Piscina al aire libre"", ""WiFi gratis"", ""Habitaciones familiares"", ""Parking gratis"", ""Habitaciones sin humo""]","[]","{}","{}","180.38","cloudscraper","2026-03-13 03:39:29.586208+00","2026-03-13 03:39:29.586212+00",1
"e2b59d69-a895-47bd-a11e-f981719a7d28","d4c6276e-faf0-42e2-b922-b80bf4bc475d","https://www.booking.com/hotel/bb/leroy.en-gb.html?lang=en-gb","en","Hôtel Le Roy","14104936",NULL,"Barbados","13.0667905598115","-59.5701081965491",NULL,"8.5",136,"https://cf.bstatic.com/xdata/images/hotel/max500/703190738.jpg?k=2fd8d569d3ea49a07b7b9e149aaabc8b5bd14e1f69e1f82001927c4c46a764f4&o=&hp=1","Beachfront Location: Hôtel Le Roy in Oistins offers direct beachfront access with stunning sea views.","8.5","10","Saint Lawrence Gap, Saint Lawrence, BB15020 Christ Church, Barbados","Saint Lawrence Gap","Barbados","BB15020","[""Outdoor swimming pool"", ""Free WiFi"", ""Beachfront"", ""Airport shuttle"", ""Non-smoking rooms"", ""Free parking"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Breakfast""]","[]","{}","{}","284.613","cloudscraper","2026-03-13 03:42:43.733867+00","2026-03-13 03:42:43.73387+00",1
