"id","hotel_id","url_id","language","service","created_at"
"1","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Baño privado","2026-03-20 22:31:59.201452+00"
"2","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Bañera","2026-03-20 22:31:59.201455+00"
"3","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","WiFi gratis","2026-03-20 22:31:59.201456+00"
"4","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Spa y centro de bienestar","2026-03-20 22:31:59.201456+00"
"5","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Aire acondicionado","2026-03-20 22:31:59.201457+00"
"6","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Balcón","2026-03-20 22:31:59.201457+00"
"7","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","TV de pantalla plana","2026-03-20 22:31:59.201458+00"
"8","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Habitaciones familiares","2026-03-20 22:31:59.201458+00"
"9","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Situado frente a la playa","2026-03-20 22:31:59.201459+00"
"10","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Playa","2026-03-20 22:31:59.201459+00"
"11","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Papel higiénico","2026-03-20 22:31:59.20146+00"
"12","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Toallas","2026-03-20 22:31:59.20146+00"
"13","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Bidet","2026-03-20 22:31:59.201461+00"
"14","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Bañera o ducha","2026-03-20 22:31:59.201461+00"
