id,hotel_id,url_id,language,service,service_category,created_at
1,e490110c-b448-4703-8651-bba0749bc4a8,61dc8245-23aa-4dae-9474-ea3ede12b9a5,en,Breakfast,,2026-04-06 23:02:11.697241+01
2,e490110c-b448-4703-8651-bba0749bc4a8,61dc8245-23aa-4dae-9474-ea3ede12b9a5,en,Non-smoking throughout,,2026-04-06 23:02:11.697241+01
3,e490110c-b448-4703-8651-bba0749bc4a8,61dc8245-23aa-4dae-9474-ea3ede12b9a5,en,English,,2026-04-06 23:02:11.697241+01
4,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Parking,,2026-04-06 23:02:35.429892+01
5,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Free WiFi,,2026-04-06 23:02:35.429892+01
6,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Non-smoking rooms,,2026-04-06 23:02:35.429892+01
7,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Private bathroom,,2026-04-06 23:02:35.429892+01
8,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Shower,,2026-04-06 23:02:35.429892+01
9,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Hiking,,2026-04-06 23:02:35.429892+01
10,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Luggage storage,,2026-04-06 23:02:35.429892+01
11,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Laundry,,2026-04-06 23:02:35.429892+01
12,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Fishing,,2026-04-06 23:02:35.429892+01
13,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Designated smoking area,,2026-04-06 23:02:35.429892+01
14,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Toilet paper,,2026-04-06 23:02:35.429892+01
