"id","hotel_id","url_id","language","amenity","created_at"
"1","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","2 piscinas","2026-03-20 22:31:59.096604+00"
"2","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","WiFi gratis","2026-03-20 22:31:59.096607+00"
"3","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Traslado aeropuerto","2026-03-20 22:31:59.096608+00"
"4","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Habitaciones familiares","2026-03-20 22:31:59.096609+00"
"5","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","8 restaurantes","2026-03-20 22:31:59.096609+00"
"6","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Tetera/cafetera en todas las habitaciones","2026-03-20 22:31:59.09661+00"
"7","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Bar","2026-03-20 22:31:59.09661+00"
"8","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Situado frente a la playa","2026-03-20 22:31:59.096611+00"
"9","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Zona privada de playa","2026-03-20 22:31:59.096611+00"
"10","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Desayuno","2026-03-20 22:31:59.096612+00"
"11","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","Desayuno","2026-03-20 22:33:18.41967+00"
"12","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","2 swimming pools","2026-03-20 22:36:09.331887+00"
"13","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Free WiFi","2026-03-20 22:36:09.33189+00"
"14","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Airport shuttle","2026-03-20 22:36:09.331891+00"
"15","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Family rooms","2026-03-20 22:36:09.331891+00"
"16","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","8 restaurants","2026-03-20 22:36:09.331892+00"
"17","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Tea/coffee maker in all rooms","2026-03-20 22:36:09.331892+00"
"18","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Bar","2026-03-20 22:36:09.331893+00"
"19","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Beachfront","2026-03-20 22:36:09.331893+00"
"20","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Private beach area","2026-03-20 22:36:09.331894+00"
"21","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Breakfast","2026-03-20 22:36:09.331894+00"
"22","81f78315-96d8-4f01-85db-3da03c88d183","493d91e2-866e-4566-abed-318b8ce16a41","en","Breakfast","2026-03-20 22:39:02.482851+00"
"23","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","2 Pools","2026-03-20 22:40:21.976521+00"
"24","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","WLAN inklusive","2026-03-20 22:40:21.976525+00"
"25","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Flughafenshuttle","2026-03-20 22:40:21.976526+00"
"26","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Familienzimmer","2026-03-20 22:40:21.976528+00"
"27","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","8 Restaurants","2026-03-20 22:40:21.976529+00"
"28","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Kaffee- und Teezubehör in allen Zimmern","2026-03-20 22:40:21.97653+00"
"29","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Bar","2026-03-20 22:40:21.976531+00"
"30","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","am Strand","2026-03-20 22:40:21.976532+00"
"31","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Privater Strand","2026-03-20 22:40:21.976533+00"
"32","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Frühstück","2026-03-20 22:40:21.976534+00"
"33","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","172 Einrichtungen anzeigen","2026-03-20 22:40:21.976535+00"
"34","daaf6927-e029-4315-98f7-0e14bb055469","493d91e2-866e-4566-abed-318b8ce16a41","de","Frühstück","2026-03-20 22:41:39.198582+00"
"35","daaf6927-e029-4315-98f7-0e14bb055469","493d91e2-866e-4566-abed-318b8ce16a41","de","1 Einrichtung anzeigen","2026-03-20 22:41:39.198585+00"
"36","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","2 piscines","2026-03-20 22:42:58.490991+00"
"37","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Connexion Wi-Fi gratuite","2026-03-20 22:42:58.490994+00"
"38","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Navette aéroport","2026-03-20 22:42:58.490995+00"
"39","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Chambres familiales","2026-03-20 22:42:58.490996+00"
"40","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","8 restaurants","2026-03-20 22:42:58.490996+00"
"41","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Plateau/bouilloire dans tous les hébergements","2026-03-20 22:42:58.490997+00"
"42","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Bar","2026-03-20 22:42:58.490997+00"
"43","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","En bord de plage","2026-03-20 22:42:58.490998+00"
"44","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","Plage privée","2026-03-20 22:42:58.490999+00"
