"id","hotel_id","url_id","language","fp","created_at","updated_at"
"8dd6210c-303d-4bf0-ab19-c56f3fe95cf4","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 22:31:59.185377+00","2026-03-20 22:31:59.18538+00"
"c7695303-c82e-4de1-9d5b-8cf1894baab5","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 22:33:18.432603+00","2026-03-20 22:33:18.432605+00"
"826c1f85-d68b-4ad8-a6ed-7772574e30d3","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 22:36:09.344626+00","2026-03-20 22:36:09.344629+00"
"6e700e05-3d7a-4eeb-838f-7af38845b7c6","81f78315-96d8-4f01-85db-3da03c88d183","493d91e2-866e-4566-abed-318b8ce16a41","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 22:39:02.507448+00","2026-03-20 22:39:02.507451+00"
"f30489b3-9b2a-4468-9d67-ba19b5d17556","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 22:40:22.004526+00","2026-03-20 22:40:22.004528+00"
"05d2a58e-3efc-48d1-a9ec-065307f04dee","daaf6927-e029-4315-98f7-0e14bb055469","493d91e2-866e-4566-abed-318b8ce16a41","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 22:41:39.212446+00","2026-03-20 22:41:39.212448+00"
"ecf31b47-af9d-4b66-ae4d-be4918079e3c","fbf206a4-2032-437c-8a49-872c72b8b5c9","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 22:42:58.505176+00","2026-03-20 22:42:58.50518+00"
"9e5de866-6221-41a8-a083-7b713056e893","99d89bdf-e208-4123-88ab-edb3c96df01a","493d91e2-866e-4566-abed-318b8ce16a41","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 22:44:29.304544+00","2026-03-20 22:44:29.304547+00"
"6c61d2df-ca3a-46ea-80d8-9da4c2676326","55af2629-e1fc-4bdb-a03f-96594893b457","4356f819-e6aa-42f8-b349-bd9ceb370bee","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 22:45:49.068185+00","2026-03-20 22:45:49.068188+00"
"73b360da-564b-4028-8f75-fcc5b4d47d54","dc7fa076-dfd5-47d7-b713-ca2642aad7e6","493d91e2-866e-4566-abed-318b8ce16a41","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 22:47:08.055363+00","2026-03-20 22:47:08.055365+00"
"2960dd17-cae3-425d-be8c-f7ce5b8b1ddc","f83cee6a-28bd-4294-825b-e23d3625facd","4356f819-e6aa-42f8-b349-bd9ceb370bee","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 22:48:26.428076+00","2026-03-20 22:48:26.42808+00"
"6000fefc-012d-45fb-bde6-35233141a747","0c7ebda2-e258-477e-85a8-edc91bc0eef4","493d91e2-866e-4566-abed-318b8ce16a41","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 22:50:11.318159+00","2026-03-20 22:50:11.318161+00"
"6c534164-d212-49c1-bf5a-8aa33aa729f5","fff45044-56cd-49c4-9860-5d04cc8750c2","4356f819-e6aa-42f8-b349-bd9ceb370bee","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 22:51:29.205047+00","2026-03-20 22:51:29.20505+00"
"015965f7-02f8-4c35-99d3-f0240724d4b2","3f076ffa-5ee4-4194-aeee-f206bddea2a2","493d91e2-866e-4566-abed-318b8ce16a41","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 22:52:47.046728+00","2026-03-20 22:52:47.046731+00"
"b7f1df0f-8434-48ad-a4b9-1bf467c13fce","a2a7a301-54f8-4a3e-af0b-5fd4d84d000d","0fa5c633-632b-4609-94e6-4240aed48871","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 22:54:04.800668+00","2026-03-20 22:54:04.800671+00"
"af7ddb5d-8238-45b5-81cb-97621d9621e5","e3c5d548-592c-4edb-9802-ea94b6f97e11","7e509834-ef44-484e-8286-616d61ae6bf6","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 22:55:46.704492+00","2026-03-20 22:55:46.704496+00"
"d3ab3041-ae7c-46a5-bef6-1af23d776637","96e67105-2cf4-418b-a851-b24d64d0f5aa","0fa5c633-632b-4609-94e6-4240aed48871","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 22:58:37.899881+00","2026-03-20 22:58:37.899884+00"
"f6698c3a-34e3-4f0d-abc3-1cdd3801f1e7","1a6e8522-7047-4155-b757-addd57d28ba0","7e509834-ef44-484e-8286-616d61ae6bf6","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 23:01:33.758043+00","2026-03-20 23:01:33.758048+00"
"a18b4d98-fcc2-4def-a707-ba9c77c931ab","63ce8fdd-a82d-44de-8362-79482ad5573a","0fa5c633-632b-4609-94e6-4240aed48871","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:02:51.0742+00","2026-03-20 23:02:51.074203+00"
"93dce55a-d298-447f-a809-316e8934c57e","cff8aaf7-e8a8-47e4-918b-9636442282ae","7e509834-ef44-484e-8286-616d61ae6bf6","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:04:09.296116+00","2026-03-20 23:04:09.296119+00"
"26ca37f6-4606-47db-a611-535a147bb6e3","6eaa0dc9-9bf5-4294-ad3f-537525c633dd","0fa5c633-632b-4609-94e6-4240aed48871","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:05:27.460773+00","2026-03-20 23:05:27.460776+00"
"876c1f8a-f62f-472e-a156-4e7c9fa1726e","0dcc4c17-13e1-446f-9e42-95a909a5883d","7e509834-ef44-484e-8286-616d61ae6bf6","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:07:01.54573+00","2026-03-20 23:07:01.545734+00"
"a1b40711-4c09-47c8-9773-33748bbf2976","5cd0b963-5522-4ab5-9ae2-fbe647022c20","0fa5c633-632b-4609-94e6-4240aed48871","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:08:19.851376+00","2026-03-20 23:08:19.851379+00"
"b65d1f7c-beeb-45f3-9362-e74eecf9f09b","6e375b00-8d49-471d-9b86-20141b8394de","7e509834-ef44-484e-8286-616d61ae6bf6","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:09:39.502063+00","2026-03-20 23:09:39.502066+00"
"7448f2ea-1c76-4793-b476-7fe5c7571871","8df7af18-d3bb-490c-a052-c3fd7ea1f5e7","0fa5c633-632b-4609-94e6-4240aed48871","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:10:58.040857+00","2026-03-20 23:10:58.04086+00"
"b01a6069-38ff-4cd7-af2d-96ef04b9f4aa","5413018a-c587-48ee-8618-3675eeba8099","7e509834-ef44-484e-8286-616d61ae6bf6","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:12:32.412003+00","2026-03-20 23:12:32.412005+00"
"8355ce60-3f08-4d84-9453-7c94d21c39d4","f112d536-c589-46a9-befa-73997fd9f6ed","0fa5c633-632b-4609-94e6-4240aed48871","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:13:51.215177+00","2026-03-20 23:13:51.21518+00"
"b852884b-1466-4a85-85d6-4149b4335604","48fa9c12-347f-4592-a52a-58aa05a07326","7e509834-ef44-484e-8286-616d61ae6bf6","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:15:10.010666+00","2026-03-20 23:15:10.010669+00"
"8db9441b-ecbc-4b23-9864-9d0d0f30b5b8","fbdc09da-3d08-44d3-9a34-86a3c52c3409","2741d8d5-15c8-42f2-91ca-744414e755f1","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:16:27.305478+00","2026-03-20 23:16:27.305482+00"
"a3e725a8-3c78-4532-8a67-7dbaf021bc94","742f629d-a0d9-44e9-9ec2-840919a883e6","a1da6af5-6d39-481c-98ab-b162305f9118","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:17:57.487043+00","2026-03-20 23:17:57.487046+00"
