id,hotel_id,url_id,language,reviews_categories,reviews_score,created_at
1,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Staff,9.4,2026-04-09 07:30:42.329115+01
2,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Facilities,9.5,2026-04-09 07:30:42.329115+01
3,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Cleanliness,9.8,2026-04-09 07:30:42.329115+01
4,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Comfort,9.5,2026-04-09 07:30:42.329115+01
5,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Value for money,9.0,2026-04-09 07:30:42.329115+01
6,4b64c232-e2a4-4202-a7c8-9dacc8937003,56633f10-7c0b-412f-8b83-f4809c1b82e3,en,Location,9.5,2026-04-09 07:30:42.329115+01
7,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Staff,9.5,2026-04-09 07:30:56.651411+01
8,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Facilities,9.2,2026-04-09 07:30:56.651411+01
9,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Cleanliness,9.3,2026-04-09 07:30:56.651411+01
10,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Comfort,9.3,2026-04-09 07:30:56.651411+01
11,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Value for money,9.3,2026-04-09 07:30:56.651411+01
12,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Location,9.3,2026-04-09 07:30:56.651411+01
13,ebd657ee-c43b-4855-9510-afd11c5eff25,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,en,Free WiFi,8.4,2026-04-09 07:30:56.651411+01
14,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Personal,9.4,2026-04-09 07:31:16.372257+01
15,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Instalaciones y servicios,9.5,2026-04-09 07:31:16.372257+01
16,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Limpieza,9.8,2026-04-09 07:31:16.372257+01
17,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Confort,9.5,2026-04-09 07:31:16.372257+01
18,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Relación calidad-precio,9.0,2026-04-09 07:31:16.372257+01
19,962b7a75-b0e6-43e0-8418-a76ea3203cdf,56633f10-7c0b-412f-8b83-f4809c1b82e3,es,Ubicación,9.5,2026-04-09 07:31:16.372257+01
20,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Personal,9.5,2026-04-09 07:31:53.928164+01
21,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Instalaciones y servicios,9.2,2026-04-09 07:31:53.928164+01
22,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Limpieza,9.3,2026-04-09 07:31:53.928164+01
23,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Confort,9.3,2026-04-09 07:31:53.928164+01
24,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Relación calidad-precio,9.3,2026-04-09 07:31:53.928164+01
25,6a84d0c5-f189-41c7-8cfd-acf6fd36e827,323c1894-7f31-479d-a4b2-6ceb0f7ffe1f,es,Ubicación,9.3,2026-04-09 07:31:53.928164+01
