id,hotel_id,url_id,language,place_name,distance,category,category_code,created_at
1,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Eagle Panorama-Restaurant & Bar,100 ft,restaurant,2,2026-06-01 23:17:21.141441+01
2,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Jagaalm Kreischberg,"1,050 ft",restaurant,2,2026-06-01 23:17:21.141441+01
3,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Gasthaus Seppenwirt,"1,300 ft",restaurant,2,2026-06-01 23:17:21.141441+01
4,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Kreischbergbahn I,350 ft,attraction,6,2026-06-01 23:17:21.141441+01
5,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,WM-Bahn Schopfart,800 ft,attraction,6,2026-06-01 23:17:21.141441+01
6,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Kreischbergbahn II,3 mi,attraction,6,2026-06-01 23:17:21.141441+01
7,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Kreischberg Talstation,"1,050 ft",transport,4,2026-06-01 23:17:21.141441+01
8,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,St. Lorenzen ob Murau,"1,700 ft",transport,4,2026-06-01 23:17:21.141441+01
9,ff9beef7-89e3-454d-8813-43b644c8e32d,917e7050-a704-4757-a916-27b1dcede049,en,Klagenfurt Airport,53 mi,airport,1,2026-06-01 23:17:21.141441+01
10,41782f5d-0f04-4cd0-abd1-37e4a5a6587f,a4c5d314-c0b0-4c94-8477-4eac5eaed438,en,Eiszeit - Selbstgemachtes Eis und Mehr,6.6 ft,restaurant,2,2026-06-01 23:18:24.364454+01
11,41782f5d-0f04-4cd0-abd1-37e4a5a6587f,a4c5d314-c0b0-4c94-8477-4eac5eaed438,en,Ledererwirt,300 ft,restaurant,2,2026-06-01 23:18:24.364454+01
12,41782f5d-0f04-4cd0-abd1-37e4a5a6587f,a4c5d314-c0b0-4c94-8477-4eac5eaed438,en,Wirtshaus & Vinothek & Greißlerei Stifterl,500 ft,restaurant,2,2026-06-01 23:18:24.364454+01
13,41782f5d-0f04-4cd0-abd1-37e4a5a6587f,a4c5d314-c0b0-4c94-8477-4eac5eaed438,en,Mariahof-St. Lambrecht,5 mi,transport,4,2026-06-01 23:18:24.364454+01
14,41782f5d-0f04-4cd0-abd1-37e4a5a6587f,a4c5d314-c0b0-4c94-8477-4eac5eaed438,en,Saurau,8 mi,transport,4,2026-06-01 23:18:24.364454+01
