id,hotel_id,url_id,language,highlight_category,highlight_detail,created_at
1,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Heart,"Situated in the best rated area in Alpbach, this hotel has an excellent location score of 9.7",2026-04-17 12:42:19.002044+02
2,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Breakfast info,"Continental, Buffet",2026-04-17 12:42:19.002044+02
3,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Parking,Free private parking available at the hotel,2026-04-17 12:42:19.002044+02
4,23a0796a-db53-4f14-907b-5b14949f6f2d,a2a79924-5f4e-4b02-9a6d-161e40bd357f,en,Top Location,Top location: Highly rated by recent guests (8.5),2026-04-17 12:42:36.924683+02
5,23a0796a-db53-4f14-907b-5b14949f6f2d,a2a79924-5f4e-4b02-9a6d-161e40bd357f,en,Parking,Free private parking available at the hotel,2026-04-17 12:42:36.924683+02
6,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Heart,"Situado en la zona mejor valorada de Alpbach, este hotel tiene una excelente puntuación en ubicación (9,7).",2026-04-17 12:43:38.649709+02
7,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Información sobre el desayuno,"Continental, Buffet",2026-04-17 12:43:38.649709+02
8,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Parking,Hay parking privado gratis en el hotel,2026-04-17 12:43:38.649709+02
9,668f172a-3912-4178-9a94-bac6345016af,a2a79924-5f4e-4b02-9a6d-161e40bd357f,es,Top Location,"La mejor ubicación. Los viajeros recientes le dan una puntuación alta (8,5)",2026-04-17 12:43:54.06868+02
10,668f172a-3912-4178-9a94-bac6345016af,a2a79924-5f4e-4b02-9a6d-161e40bd357f,es,Parking,Hay parking privado gratis en el hotel,2026-04-17 12:43:54.06868+02
11,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Heart,"Dieses Hotel befindet sich in der am besten bewerteten Gegend in Alpbach und hat für seine Lage ein hervorragendes Bewertungsergebnis von 9,7",2026-04-17 12:44:12.138176+02
12,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Frühstücks-Info,"Kontinental, Buffet",2026-04-17 12:44:12.138176+02
13,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Parking,An dem Hotel stehen kostenfreie Privatparkplätze zur Verfügung,2026-04-17 12:44:12.138176+02
14,ece24e01-ec10-4e19-9fcb-de5cd8db36bd,a2a79924-5f4e-4b02-9a6d-161e40bd357f,de,Top Location,"Tolle Lage: von Gästen aktuell mit sehr gut bewertet (8,5)",2026-04-17 12:44:50.084408+02
15,ece24e01-ec10-4e19-9fcb-de5cd8db36bd,a2a79924-5f4e-4b02-9a6d-161e40bd357f,de,Parking,An dem Hotel stehen kostenfreie Privatparkplätze zur Verfügung,2026-04-17 12:44:50.084408+02
16,92ab2f76-defa-4ee0-b745-18407ac82d8d,9b62b630-d621-4e02-89d0-c0ff3e08064b,it,Heart,"Situato nella zona più gettonata di Alpbach, questo hotel ha un ottimo punteggio per la posizione: 9,7!",2026-04-17 12:45:18.908038+02
17,92ab2f76-defa-4ee0-b745-18407ac82d8d,9b62b630-d621-4e02-89d0-c0ff3e08064b,it,Informazioni sulla colazione,"continentale, a buffet",2026-04-17 12:45:18.908038+02
18,92ab2f76-defa-4ee0-b745-18407ac82d8d,9b62b630-d621-4e02-89d0-c0ff3e08064b,it,Parking,Parcheggio privato gratuito disponibile presso l'hotel,2026-04-17 12:45:18.908038+02
19,4d6543a6-41d2-4faa-9175-114d9818cabb,a2a79924-5f4e-4b02-9a6d-161e40bd357f,it,Top Location,"Posizione fantastica: valutata dagli ospiti recenti con 8,5",2026-04-17 12:45:41.629705+02
20,4d6543a6-41d2-4faa-9175-114d9818cabb,a2a79924-5f4e-4b02-9a6d-161e40bd357f,it,Parking,Parcheggio privato gratuito disponibile presso l'hotel,2026-04-17 12:45:41.629705+02
21,ddb644a4-6ce1-4f53-98cf-6466649254f0,9b62b630-d621-4e02-89d0-c0ff3e08064b,fr,Heart,"Situé dans le quartier le plus apprécié à Alpbach, cet hôtel affiche l'excellente note de 9,7 pour sa situation géographique.",2026-04-17 12:46:26.665983+02
22,ddb644a4-6ce1-4f53-98cf-6466649254f0,9b62b630-d621-4e02-89d0-c0ff3e08064b,fr,Infos concernant le petit-déjeuner,"Continental, Buffet",2026-04-17 12:46:26.665983+02
23,ddb644a4-6ce1-4f53-98cf-6466649254f0,9b62b630-d621-4e02-89d0-c0ff3e08064b,fr,Parking,Parking privé gratuit à l'hôtel,2026-04-17 12:46:26.665983+02
24,933b5f14-f884-446a-8742-e4cb6cf739ba,a2a79924-5f4e-4b02-9a6d-161e40bd357f,fr,Top Location,"Bonne situation géographique : très bien notée par de récents voyageurs (8,5)",2026-04-17 12:46:44.029372+02
25,933b5f14-f884-446a-8742-e4cb6cf739ba,a2a79924-5f4e-4b02-9a6d-161e40bd357f,fr,Parking,Parking privé gratuit à l'hôtel,2026-04-17 12:46:44.029372+02
26,3c56071e-733b-4a40-a9c4-bc65d98a9f45,9b62b630-d621-4e02-89d0-c0ff3e08064b,pt,Heart,"Situado na área com melhor avaliação em Alpbach, este hotel tem uma excelente pontuação de localização: 9,7",2026-04-17 12:47:39.417469+02
27,3c56071e-733b-4a40-a9c4-bc65d98a9f45,9b62b630-d621-4e02-89d0-c0ff3e08064b,pt,Informação sobre o pequeno-almoço,"Continental, Buffet",2026-04-17 12:47:39.417469+02
28,3c56071e-733b-4a40-a9c4-bc65d98a9f45,9b62b630-d621-4e02-89d0-c0ff3e08064b,pt,Parking,Estacionamento privado gratuito disponível no hotel,2026-04-17 12:47:39.417469+02
29,0cf57a40-a9f1-4454-bc76-8ec525c380b2,a2a79924-5f4e-4b02-9a6d-161e40bd357f,pt,Top Location,"Excelente localização: os hóspedes recentes deram uma pontuação alta (8,5)",2026-04-17 12:47:51.77461+02
30,0cf57a40-a9f1-4454-bc76-8ec525c380b2,a2a79924-5f4e-4b02-9a6d-161e40bd357f,pt,Parking,Estacionamento privado gratuito disponível no hotel,2026-04-17 12:47:51.77461+02
31,9864e103-bcac-4db2-9e32-2e67cbf45b32,c772261b-7fd2-49b8-b327-b52e249821ef,en,Heart,"Situated in the best rated area in Nauders, this hotel has an excellent location score of 9.4",2026-04-17 12:48:54.031363+02
32,9864e103-bcac-4db2-9e32-2e67cbf45b32,c772261b-7fd2-49b8-b327-b52e249821ef,en,Breakfast info,"Continental, Vegetarian, Vegan, Gluten-free, American, Buffet",2026-04-17 12:48:54.031363+02
33,9864e103-bcac-4db2-9e32-2e67cbf45b32,c772261b-7fd2-49b8-b327-b52e249821ef,en,Parking,Free private parking available at the hotel,2026-04-17 12:48:54.031363+02
34,e585acb4-fd6c-4338-a6fe-24370bbcd007,66608290-05a1-4db7-b766-9d7c3e039837,en,Heart,"Situated in the best rated area in Gosau, this hotel has an excellent location score of 9.2",2026-04-17 12:49:12.245485+02
35,e585acb4-fd6c-4338-a6fe-24370bbcd007,66608290-05a1-4db7-b766-9d7c3e039837,en,Breakfast info,Buffet,2026-04-17 12:49:12.245485+02
36,e585acb4-fd6c-4338-a6fe-24370bbcd007,66608290-05a1-4db7-b766-9d7c3e039837,en,Parking,Free parking available at the hotel,2026-04-17 12:49:12.245485+02
37,4e4fc9ef-b577-4b25-99b9-a541e5077bec,c772261b-7fd2-49b8-b327-b52e249821ef,es,Heart,"Situado en la zona mejor valorada de Nauders, este hotel tiene una excelente puntuación en ubicación (9,4).",2026-04-17 12:50:40.543744+02
38,4e4fc9ef-b577-4b25-99b9-a541e5077bec,c772261b-7fd2-49b8-b327-b52e249821ef,es,Información sobre el desayuno,"Continental, Vegetariano, Vegano, Sin gluten, Americano, Buffet",2026-04-17 12:50:40.543744+02
39,4e4fc9ef-b577-4b25-99b9-a541e5077bec,c772261b-7fd2-49b8-b327-b52e249821ef,es,Parking,Hay parking privado gratis en el hotel,2026-04-17 12:50:40.543744+02
40,96d547f4-9c11-4e9e-8b84-00377d76e4b7,66608290-05a1-4db7-b766-9d7c3e039837,es,Heart,"Situado en la zona mejor valorada de Gosau, este hotel tiene una excelente puntuación en ubicación (9,2).",2026-04-17 12:51:07.178021+02
41,96d547f4-9c11-4e9e-8b84-00377d76e4b7,66608290-05a1-4db7-b766-9d7c3e039837,es,Información sobre el desayuno,Buffet,2026-04-17 12:51:07.178021+02
42,96d547f4-9c11-4e9e-8b84-00377d76e4b7,66608290-05a1-4db7-b766-9d7c3e039837,es,Parking,Hay parking gratis en el hotel,2026-04-17 12:51:07.178021+02
43,e9e4737f-c7ea-426d-9cd5-0e9c718115bd,c772261b-7fd2-49b8-b327-b52e249821ef,de,Heart,"Dieses Hotel befindet sich in der am besten bewerteten Gegend in Nauders und hat für seine Lage ein hervorragendes Bewertungsergebnis von 9,4",2026-04-17 12:51:54.107675+02
44,e9e4737f-c7ea-426d-9cd5-0e9c718115bd,c772261b-7fd2-49b8-b327-b52e249821ef,de,Frühstücks-Info,"Kontinental, Vegetarisch, Vegan, Glutenfrei, Amerikanisch, Buffet",2026-04-17 12:51:54.107675+02
45,e9e4737f-c7ea-426d-9cd5-0e9c718115bd,c772261b-7fd2-49b8-b327-b52e249821ef,de,Parking,An dem Hotel stehen kostenfreie Privatparkplätze zur Verfügung,2026-04-17 12:51:54.107675+02
