id,hotel_id,url_id,language,room_name,description,facilities,adults,children,images,info,created_at
1,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Family Suite,"1 double bed, 2 single beds",[],,,[],,2026-04-17 12:42:19.158838+02
2,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Superior Double Room,1 double bed,[],,,[],,2026-04-17 12:42:19.158838+02
3,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,"Family Room ""Post Nestl""",1 sofa bed and 1 large double bed,[],,,[],,2026-04-17 12:42:19.158838+02
4,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Comfort Double Room,1 double bed,[],,,[],,2026-04-17 12:42:19.158838+02
5,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Standard Double Room,1 double bed,[],,,[],,2026-04-17 12:42:19.158838+02
6,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Economy Double Room,1 double bed,[],,,[],,2026-04-17 12:42:19.158838+02
7,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Superior Double Room 4,1 double bed and 1 sofa bed,[],,,[],,2026-04-17 12:42:19.158838+02
8,f7d654d9-8766-4028-ae98-0fea861a9c2e,9b62b630-d621-4e02-89d0-c0ff3e08064b,en,Comfort Double Room 4,1 double bed and 1 sofa bed,[],,,[],,2026-04-17 12:42:19.158838+02
9,23a0796a-db53-4f14-907b-5b14949f6f2d,a2a79924-5f4e-4b02-9a6d-161e40bd357f,en,Double Room,1 large double bed,[],,,[],,2026-04-17 12:42:37.073501+02
10,23a0796a-db53-4f14-907b-5b14949f6f2d,a2a79924-5f4e-4b02-9a6d-161e40bd357f,en,Single Room,1 single bed,[],,,[],,2026-04-17 12:42:37.073501+02
11,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Suite Familiar,"1 cama doble, 2 camas individuales",[],,,[],,2026-04-17 12:43:38.793643+02
12,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Superior,1 cama doble,[],,,[],,2026-04-17 12:43:38.793643+02
13,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,"Habitación Familiar ""Post Nestl""",1 sofá cama y 1 cama doble grande,[],,,[],,2026-04-17 12:43:38.793643+02
14,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Confort,1 cama doble,[],,,[],,2026-04-17 12:43:38.793643+02
15,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Estándar,1 cama doble,[],,,[],,2026-04-17 12:43:38.793643+02
16,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Económica,1 cama doble,[],,,[],,2026-04-17 12:43:38.793643+02
17,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Superior 4,1 cama doble y 1 sofá cama,[],,,[],,2026-04-17 12:43:38.793643+02
18,e5c4fae3-528d-43ba-b6b5-8f1f9597aa5f,9b62b630-d621-4e02-89d0-c0ff3e08064b,es,Habitación Doble Confort (4),1 cama doble y 1 sofá cama,[],,,[],,2026-04-17 12:43:38.793643+02
19,668f172a-3912-4178-9a94-bac6345016af,a2a79924-5f4e-4b02-9a6d-161e40bd357f,es,Habitación Doble,1 cama doble grande,[],,,[],,2026-04-17 12:43:54.110793+02
20,668f172a-3912-4178-9a94-bac6345016af,a2a79924-5f4e-4b02-9a6d-161e40bd357f,es,Habitación Individual,1 cama individual,[],,,[],,2026-04-17 12:43:54.110793+02
21,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Familiensuite,"1 französisches Doppelbett, 2 Einzelbetten",[],,,[],,2026-04-17 12:44:12.246977+02
22,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Superior Doppelzimmer,1 französisches Doppelbett,[],,,[],,2026-04-17 12:44:12.246977+02
23,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,"Familienzimmer ""Post Nestl""",1 Schlafsofa und 1 Doppelbett,[],,,[],,2026-04-17 12:44:12.246977+02
24,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Comfort Doppelzimmer,1 französisches Doppelbett,[],,,[],,2026-04-17 12:44:12.246977+02
25,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Standard Doppelzimmer,1 französisches Doppelbett,[],,,[],,2026-04-17 12:44:12.246977+02
26,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Economy Doppelzimmer,1 französisches Doppelbett,[],,,[],,2026-04-17 12:44:12.246977+02
27,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Superior Doppelzimmer 4,1 französisches Doppelbett und 1 Schlafsofa,[],,,[],,2026-04-17 12:44:12.246977+02
28,58e5d4ee-02ff-4b8b-ad27-3457bb915dad,9b62b630-d621-4e02-89d0-c0ff3e08064b,de,Comfort Doppelzimmer 4,1 französisches Doppelbett und 1 Schlafsofa,[],,,[],,2026-04-17 12:44:12.246977+02
29,ece24e01-ec10-4e19-9fcb-de5cd8db36bd,a2a79924-5f4e-4b02-9a6d-161e40bd357f,de,Doppelzimmer,1 Doppelbett,[],,,[],,2026-04-17 12:44:50.161967+02
30,ece24e01-ec10-4e19-9fcb-de5cd8db36bd,a2a79924-5f4e-4b02-9a6d-161e40bd357f,de,Einzelzimmer,1 Einzelbett,[],,,[],,2026-04-17 12:44:50.161967+02
