"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"1","2026-03-21 01:44:08.584813+00","16.4","38.3",NULL,0,NULL,0,13,"{}"
"2","2026-03-21 01:44:09.119553+00","9.5","38.3",NULL,0,NULL,0,13,"{}"
"3","2026-03-21 01:44:09.654193+00","3.8","38.3",NULL,0,NULL,0,13,"{}"
"4","2026-03-21 01:44:10.184948+00","2.3","38.3",NULL,0,NULL,0,13,"{}"
"5","2026-03-21 01:44:10.715168+00","5.9","38.3",NULL,0,NULL,0,13,"{}"
"6","2026-03-21 01:44:11.241803+00","1.5","38.3",NULL,0,NULL,0,13,"{}"
"7","2026-03-21 01:44:11.787699+00","9.6","38.2",NULL,0,NULL,0,13,"{}"
"8","2026-03-21 01:44:12.318817+00","3.2","38.2",NULL,0,NULL,0,13,"{}"
"9","2026-03-21 01:44:12.847679+00","1.6","38.3",NULL,0,NULL,0,13,"{}"
"10","2026-03-21 01:44:13.378837+00","0.4","38.3",NULL,0,NULL,0,13,"{}"
"11","2026-03-21 01:44:13.911298+00","3.5","38.3",NULL,0,NULL,0,13,"{}"
"12","2026-03-21 01:44:14.441463+00","0.4","38.3",NULL,0,NULL,0,13,"{}"
"13","2026-03-21 01:44:14.966604+00","3.2","38.3",NULL,0,NULL,0,13,"{}"
"14","2026-03-21 01:44:15.49079+00","2.3","38.3",NULL,0,NULL,0,13,"{}"
"15","2026-03-21 01:44:16.015045+00","5","38.3",NULL,0,NULL,0,13,"{}"
"16","2026-03-21 01:44:16.541117+00","5.4","38.3",NULL,0,NULL,0,13,"{}"
"17","2026-03-21 01:44:17.067506+00","4.4","38.4",NULL,0,NULL,0,13,"{}"
"18","2026-03-21 01:44:17.592538+00","2.4","38.4",NULL,0,NULL,0,13,"{}"
"19","2026-03-21 01:44:18.110073+00","3.9","38.4",NULL,0,NULL,0,13,"{}"
"20","2026-03-21 01:44:18.635805+00","0.8","38.4",NULL,0,NULL,0,13,"{}"
"21","2026-03-21 01:44:19.160916+00","1.6","38.4",NULL,0,NULL,0,13,"{}"
"22","2026-03-21 01:44:19.685171+00","5.8","38.4",NULL,0,NULL,0,13,"{}"
"23","2026-03-21 01:44:20.210111+00","3.9","38.4",NULL,0,NULL,0,13,"{}"
"24","2026-03-21 01:44:20.734832+00","0","38.4",NULL,0,NULL,0,13,"{}"
"25","2026-03-21 01:44:21.259181+00","3.1","38.4",NULL,0,NULL,0,13,"{}"
"26","2026-03-21 01:44:21.7846+00","15.3","38.3",NULL,0,NULL,0,13,"{}"
"27","2026-03-21 01:44:22.310845+00","1.6","38.3",NULL,0,NULL,0,13,"{}"
"28","2026-03-21 01:44:22.834872+00","0.4","38.3",NULL,0,NULL,0,13,"{}"
