id,recorded_at,cpu_usage,memory_usage,active_workers,db_pool_checked_out,redis_connected,urls_pending,urls_done,extra_data
1,2026-06-16 16:53:08.975159+01,8.6,61.4,,0,,0,0,{}
2,2026-06-16 17:01:46.858678+01,5.5,59.7,,0,,139,2,{}
3,2026-06-16 17:08:08.289319+01,1.6,60.6,,0,,137,4,{}
4,2026-06-16 17:14:01.084284+01,0,60.2,,0,,135,6,{}
5,2026-06-16 17:20:22.420983+01,7.9,60,,0,,133,8,{}
6,2026-06-16 17:27:08.046399+01,4.7,60,,0,,131,10,{}
7,2026-06-16 17:34:43.05784+01,8.7,60.5,,0,,129,12,{}
8,2026-06-16 17:41:21.302249+01,6.2,60.8,,0,,127,14,{}
9,2026-06-16 17:47:33.2443+01,6.2,60.2,,0,,125,16,{}
10,2026-06-16 17:54:14.796091+01,8.7,60.2,,0,,123,18,{}
11,2026-06-16 18:01:15.049732+01,9.4,59.6,,0,,121,20,{}
12,2026-06-16 18:07:50.972356+01,8.6,60.2,,0,,119,22,{}
13,2026-06-16 18:14:55.594889+01,10.9,58.4,,0,,117,24,{}
14,2026-06-16 18:20:59.169467+01,18,58.9,,0,,115,26,{}
15,2026-06-16 18:27:00.411403+01,8.7,59.1,,0,,113,28,{}
16,2026-06-16 18:33:55.263995+01,0,59.4,,0,,111,30,{}
17,2026-06-16 18:40:50.19821+01,0.8,58.7,,0,,109,32,{}
18,2026-06-16 18:47:05.987027+01,4.7,58.9,,0,,107,34,{}
19,2026-06-16 18:53:54.395184+01,6.2,58.8,,0,,105,36,{}
20,2026-06-16 19:00:49.313996+01,10.9,59.1,,0,,103,38,{}
21,2026-06-16 19:06:57.786657+01,25.8,60.8,,0,,101,40,{}
22,2026-06-16 19:14:08.614665+01,10.2,60.5,,0,,99,42,{}
23,2026-06-16 19:20:19.881769+01,9.2,60.4,,0,,97,44,{}
24,2026-06-16 19:26:32.178413+01,4.7,60.1,,0,,95,46,{}
25,2026-06-16 19:37:24.109145+01,19.4,59.3,,0,,93,47,{}
26,2026-06-16 19:37:26.653629+01,1.6,59.3,,0,,93,47,{}
27,2026-06-16 19:37:27.164202+01,9.5,59.3,,0,,93,47,{}
28,2026-06-16 19:37:27.67676+01,4.7,59.3,,0,,93,47,{}
