"id","id_photo","hotel_id","orientation","photo_width","photo_height","alt","created_at_photo","created_at"
"93ae8365-3b1b-4000-be93-279f35daf8b3","675098205","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",4231,2826,"a swimming pool with a view of the ocean at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:27:58+01","2026-03-13 01:57:37.827414+00"
"14ced2f5-a88d-4e3f-8702-fbf94ac03ff6","675098505","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",3992,2992,"a swimming pool with umbrellas and chairs and a resort at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:28:59+01","2026-03-13 01:57:37.831249+00"
"d7a62a23-d7c2-4d40-8e7a-13789e193027","675098188","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",4202,2766,"a living room with a green couch and a table at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:27:57+01","2026-03-13 01:57:37.834274+00"
"282f5f6c-de5b-4484-99f7-f747359970fa","675098197","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",4231,2826,"a living room with a television and a large window at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:27:57+01","2026-03-13 01:57:37.837885+00"
"84b6fad9-6254-4f59-aba5-0d99ea7afd95","675098325","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",4231,2826,"a bedroom with a canopy bed with a view of the ocean at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:28:25+01","2026-03-13 01:57:37.840979+00"
"26437fa2-f0d1-42b3-a787-4dc548a757bb","826653474","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1395,930,"a bedroom with a bed and a view of the ocean at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-23 18:12:38+00","2026-03-13 01:57:37.843404+00"
"89ba7186-f460-4893-bae2-3722381f0be2","823657982","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",2148,1125,"a store front with flowers painted on the windows at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-15 14:30:31+00","2026-03-13 01:57:37.845101+00"
"46996c6a-5623-4c7b-8467-46195d8f3480","826612035","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1536,1024,"a bedroom with a canopy bed and a balcony at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-23 16:00:36+00","2026-03-13 01:57:37.846572+00"
"673261b2-27c1-4827-9d94-21773b79644d","823657989","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1600,1074,"a house with a swimming pool with a view of the ocean at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-15 14:30:33+00","2026-03-13 01:57:37.847944+00"
"8f090a01-dd49-44b0-a9c6-6f3987dc244d","823657993","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1600,1020,"a swimming pool with a painting on the side of a house at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-15 14:30:34+00","2026-03-13 01:57:37.849214+00"
"f1c5e31f-185e-4ff9-adae-31c8f36cb92b","823657996","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1600,1080,"a house with a swimming pool with a view at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-15 14:30:35+00","2026-03-13 01:57:37.850647+00"
"d080cead-d084-4447-830a-85ef1e81c2f7","823657898","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",1600,1200,"a pool with a painting on the side of a house at Gardens Hill Resort &amp; Spa in Beau Vallon","2026-02-15 14:30:15+00","2026-03-13 01:57:37.851926+00"
"5afae903-a822-4365-888b-875453227973","675098506","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","landscape",4231,2826,"a swimming pool with chairs and umbrellas at Gardens Hill Resort &amp; Spa in Beau Vallon","2025-04-22 15:28:59+01","2026-03-13 01:57:37.85316+00"
