# SQL =
["SELECT al.url_id , al.hotel_id , h.hotel_name , al.language, al.service_category , service 
FROM hotels_all_services al
LEFT JOIN hotels h ON al.url_id = h.url_id and al.language = h.language and al.hotel_id = h.id 
WHERE hotel_name in('wild & bolz eMotel','vidimo se','Hotel Aquamarin')
AND al.language in ('es','en')
ORDER BY al.url_id , al.language , al.service_category"]
 
## RESULT =
[
url_id,hotel_id,hotel_name,language,service_category,service
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Food & Drink,Good breakfast
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,General,Non-smoking throughout
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,General,Non-smoking rooms
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,General,Private entrance
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Outdoors & View,Outdoor furniture
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Outdoors & View,Mountain view
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Outdoors & View,View
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Sofa bed
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Desk
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Linen
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Sofa
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Socket near the bed
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Additional toilet
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Bath or shower
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Seating Area
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Towels
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Toilet paper
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Private bathroom
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Hairdryer
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Toilet
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Wardrobe or closet
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Room Amenities,Flat-screen TV
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,Services,English
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Free WiFi
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Free parking
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Fold-up bed
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Fire extinguishers
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Family rooms
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Accessible parking
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Darts
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Daily housekeeping
